Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-49.133335	2.5817735	-33.0	-50.0	50.0	0.010925324	0.005336691	0.029852286	-0.01066871	12000	-7.962808e-08	586.824	-0.0040855333	-288.37878	0.91894394	0.0034362152	0.03508333	79.0	17.98728632926941
1	-49.083332	2.7811368	-30.0	-50.0	50.0	-8.366698	0.006037731	-8.334667	-8.38067	24000	6.821938e-08	297.95282	-0.0033771289	-70.408714	0.90688515	0.0026540433	0.027333334	79.0	35.636064529418945
2	-49.058334	2.6795392	-32.0	-50.0	50.0	-11.442429	0.0028781549	-11.425094	-11.450716	36000	-2.8871e-08	227.7449	-0.00452598	-44.089714	0.8927322	0.0032157046	0.04	79.0	55.09301400184631
3	-49.145832	2.5640917	-32.0	-50.0	50.0	-13.949983	0.0019688816	-13.939896	-13.95475	48000	2.2933818e-08	183.97144	-0.004308963	-26.642166	0.8795492	0.0061862627	0.038	79.0	76.00796794891357
4	-49.25	2.49416	-32.0	-50.0	50.0	-15.9935	0.0017154455	-15.982378	-15.997555	60000	-4.1676685e-08	158.30931	-0.00421034	-15.324158	0.88472086	0.0042727897	0.032333333	79.0	96.71918487548828
5	-49.225	2.499875	-31.0	-50.0	50.0	-17.622831	0.001373775	-17.611742	-17.625986	72000	1.48575054e-08	143.58513	-0.0039633424	-8.350739	0.87638736	0.00212766	0.037833333	79.0	115.96730756759644
6	-49.008335	3.022129	-25.0	-50.0	50.0	-18.885773	0.0012682982	-18.878584	-18.888634	84000	1.839362e-08	133.51434	-0.0038922615	-4.067459	0.8638056	0.0044044014	0.032166667	79.0	133.20002365112305
7	-48.9875	3.0584326	-26.0	-50.0	50.0	-19.810663	0.0012459015	-19.803694	-19.81327	96000	-4.656613e-10	130.00772	-0.0031944802	-1.7787857	0.85924786	0.0024225346	0.021166667	79.0	151.1252281665802
8	-49.095833	2.6605105	-30.0	-50.0	50.0	-20.450861	0.0011592226	-20.443443	-20.453026	108000	3.6961865e-09	128.16254	-0.0042026723	-0.8268738	0.8561433	0.0043815477	0.04241667	79.0	169.00534439086914
9	-49.125	2.4968731	-35.0	-50.0	50.0	-20.904255	0.0010825421	-20.898134	-20.907259	120000	9.487849e-09	127.58107	-0.0044217226	-0.28680038	0.85079384	0.0036303038	0.03525	79.0	186.35893273353577
10	-48.441666	4.2949505	-16.0	-50.0	50.0	-21.1835	0.0010262921	-21.17605	-21.185892	132000	2.142042e-08	127.73854	-0.004073834	-0.003944397	0.8456766	0.003586811	0.035916667	79.0	203.5324125289917
11	-48.870834	2.693353	-31.0	-50.0	50.0	-21.226141	0.0009763657	-21.220787	-21.228771	144000	-1.7811544e-08	126.1982	-0.0036020502	-0.04428482	0.8432933	0.0044627907	0.035916664	79.0	221.2979040145874
12	-48.245834	4.1071563	-21.0	-50.0	50.0	-21.337147	0.0010433694	-21.330397	-21.33999	156000	-1.5366822e-08	126.51329	-0.00354124	-0.014720917	0.836177	0.0025587245	0.026333334	79.0	238.55327987670898
13	-48.658333	3.3203812	-28.0	-50.0	50.0	-21.275467	0.0011779104	-21.269468	-21.278599	168000	1.8626451e-09	125.99817	-0.00388885	-0.007892609	0.8280454	0.005010404	0.0375	79.0	256.0309076309204
14	-48.158333	4.127137	-25.0	-50.0	50.0	-21.32172	0.0013691662	-21.312359	-21.32474	180000	1.8859282e-08	125.9541	-0.0044653704	-0.031093597	0.8210664	0.0040762764	0.037166666	79.0	273.5146038532257
15	-47.9	4.134005	-26.0	-50.0	50.0	-21.22267	0.0013714028	-21.214394	-21.226105	192000	-5.5879354e-09	124.73591	-0.0048242216	-0.03263855	0.80741495	0.003964434	0.040416665	79.0	291.3014588356018
16	-47.7625	4.8388457	-22.0	-50.0	50.0	-21.112207	0.0014334192	-21.105122	-21.115398	204000	2.4796464e-08	126.119446	-0.0037393295	-0.01573944	0.80577326	0.0019980138	0.027333334	79.0	308.5292589664459
17	-48.183334	3.9696417	-25.0	-50.0	50.0	-21.033947	0.0014646786	-21.025902	-21.037178	216000	3.146124e-08	124.292694	-0.0042436514	-0.014701843	0.7983283	0.0018198481	0.033916667	79.0	325.81703543663025
